Round,Final Scores,Final Ranking
1,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
2,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
3,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
4,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
5,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
6,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
7,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
8,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
9,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
10,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
11,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
12,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
13,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
14,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
15,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
16,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
17,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
18,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
19,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
20,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
21,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
22,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
23,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
24,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
25,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
26,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
27,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
28,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
29,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
30,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
31,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
32,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
33,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
34,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
35,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
36,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
37,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
38,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
39,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
40,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
41,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
