Player,Strategy,Avg Ranking of A,Avg Ranking of B,Avg Ranking of C,Avg Ranking of D,Avg Score of A,Avg Score of B,Avg Score of C,Avg Score of D
A,"('B', 'C', 'D')",2.2314814814814814,3.212962962962963,1.9259259259259258,2.6296296296296298,10.0,-0.3333333333333333,12.666666666666666,5.666666666666667
A,"('B', 'D', 'C')",2.212962962962963,3.212962962962963,2.3981481481481484,2.175925925925926,10.0,-0.3333333333333333,7.666666666666667,10.666666666666666
A,"('C', 'B', 'D')",2.2314814814814814,1.8333333333333333,3.3055555555555554,2.6296296296296298,10.0,14.666666666666666,-2.3333333333333335,5.666666666666667
A,"('C', 'D', 'B')",2.212962962962963,2.287037037037037,3.324074074074074,2.175925925925926,10.0,9.666666666666666,-2.3333333333333335,10.666666666666666
A,"('D', 'B', 'C')",2.25,1.8333333333333333,2.4166666666666665,3.5,10.0,14.666666666666666,7.666666666666667,-4.333333333333333
A,"('D', 'C', 'B')",2.25,2.287037037037037,1.962962962962963,3.5,10.0,9.666666666666666,12.666666666666666,-4.333333333333333
B,"('A', 'C', 'D')",2.9814814814814814,2.435185185185185,1.9259259259259258,2.6574074074074074,1.6666666666666667,8.0,12.666666666666666,5.666666666666667
B,"('A', 'D', 'C')",3.0,2.435185185185185,2.3981481481481484,2.1666666666666665,1.6666666666666667,8.0,7.666666666666667,10.666666666666666
B,"('C', 'A', 'D')",1.6111111111111112,2.4444444444444446,3.3055555555555554,2.638888888888889,16.666666666666668,8.0,-2.3333333333333335,5.666666666666667
B,"('C', 'D', 'A')",2.0555555555555554,2.4537037037037037,3.324074074074074,2.1666666666666665,11.666666666666666,8.0,-2.3333333333333335,10.666666666666666
B,"('D', 'A', 'C')",1.6666666666666667,2.4444444444444446,2.4166666666666665,3.4722222222222223,16.666666666666668,8.0,7.666666666666667,-4.333333333333333
B,"('D', 'C', 'A')",2.074074074074074,2.4537037037037037,1.962962962962963,3.509259259259259,11.666666666666666,8.0,12.666666666666666,-4.333333333333333
C,"('A', 'B', 'D')",2.9814814814814814,1.8148148148148149,2.5462962962962963,2.6574074074074074,1.6666666666666667,14.666666666666666,6.0,5.666666666666667
C,"('A', 'D', 'B')",3.0,2.2777777777777777,2.5555555555555554,2.1666666666666665,1.6666666666666667,9.666666666666666,6.0,10.666666666666666
C,"('B', 'A', 'D')",1.6111111111111112,3.2037037037037037,2.5462962962962963,2.638888888888889,16.666666666666668,-0.3333333333333333,6.0,5.666666666666667
C,"('B', 'D', 'A')",2.0555555555555554,3.2222222222222223,2.5555555555555554,2.1666666666666665,11.666666666666666,-0.3333333333333333,6.0,10.666666666666666
C,"('D', 'A', 'B')",1.6666666666666667,2.2962962962962963,2.564814814814815,3.4722222222222223,16.666666666666668,9.666666666666666,6.0,-4.333333333333333
C,"('D', 'B', 'A')",2.074074074074074,1.8518518518518519,2.564814814814815,3.509259259259259,11.666666666666666,14.666666666666666,6.0,-4.333333333333333
D,"('A', 'B', 'C')",3.009259259259259,1.8148148148148149,2.4074074074074074,2.7685185185185186,1.6666666666666667,14.666666666666666,7.666666666666667,4.0
D,"('A', 'C', 'B')",3.009259259259259,2.2777777777777777,1.9444444444444444,2.7685185185185186,1.6666666666666667,9.666666666666666,12.666666666666666,4.0
D,"('B', 'A', 'C')",1.6296296296296295,3.2037037037037037,2.4074074074074074,2.759259259259259,16.666666666666668,-0.3333333333333333,7.666666666666667,4.0
D,"('B', 'C', 'A')",2.0555555555555554,3.2222222222222223,1.9444444444444444,2.7777777777777777,11.666666666666666,-0.3333333333333333,12.666666666666666,4.0
D,"('C', 'A', 'B')",1.6296296296296295,2.2962962962962963,3.314814814814815,2.759259259259259,16.666666666666668,9.666666666666666,-2.3333333333333335,4.0
D,"('C', 'B', 'A')",2.0555555555555554,1.8518518518518519,3.314814814814815,2.7777777777777777,11.666666666666666,14.666666666666666,-2.3333333333333335,4.0
