Strategy Combination,Final Scores,Final Ranking
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'B', 'D'), 'D': ('A', 'B', 'C')}","{'A': -15, 'B': 13, 'C': 21, 'D': 9}","[('C', 21), ('B', 13), ('D', 9), ('A', -15)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'B', 'D'), 'D': ('A', 'C', 'B')}","{'A': -15, 'B': 8, 'C': 26, 'D': 9}","[('C', 26), ('D', 9), ('B', 8), ('A', -15)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'B', 'D'), 'D': ('B', 'A', 'C')}","{'A': 0, 'B': -2, 'C': 21, 'D': 9}","[('C', 21), ('D', 9), ('A', 0), ('B', -2)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'B', 'D'), 'D': ('B', 'C', 'A')}","{'A': -5, 'B': -2, 'C': 26, 'D': 9}","[('C', 26), ('D', 9), ('B', -2), ('A', -5)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'B', 'D'), 'D': ('C', 'A', 'B')}","{'A': 0, 'B': 8, 'C': 11, 'D': 9}","[('C', 11), ('D', 9), ('B', 8), ('A', 0)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'B', 'D'), 'D': ('C', 'B', 'A')}","{'A': -5, 'B': 13, 'C': 11, 'D': 9}","[('B', 13), ('C', 11), ('D', 9), ('A', -5)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'D', 'B'), 'D': ('A', 'B', 'C')}","{'A': -15, 'B': 8, 'C': 21, 'D': 14}","[('C', 21), ('D', 14), ('B', 8), ('A', -15)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'D', 'B'), 'D': ('A', 'C', 'B')}","{'A': -15, 'B': 3, 'C': 26, 'D': 14}","[('C', 26), ('D', 14), ('B', 3), ('A', -15)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'D', 'B'), 'D': ('B', 'A', 'C')}","{'A': 0, 'B': -7, 'C': 21, 'D': 14}","[('C', 21), ('D', 14), ('A', 0), ('B', -7)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'D', 'B'), 'D': ('B', 'C', 'A')}","{'A': -5, 'B': -7, 'C': 26, 'D': 14}","[('C', 26), ('D', 14), ('A', -5), ('B', -7)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'D', 'B'), 'D': ('C', 'A', 'B')}","{'A': 0, 'B': 3, 'C': 11, 'D': 14}","[('D', 14), ('C', 11), ('B', 3), ('A', 0)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('A', 'D', 'B'), 'D': ('C', 'B', 'A')}","{'A': -5, 'B': 8, 'C': 11, 'D': 14}","[('D', 14), ('C', 11), ('B', 8), ('A', -5)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('B', 'A', 'D'), 'D': ('A', 'B', 'C')}","{'A': 0, 'B': -2, 'C': 21, 'D': 9}","[('C', 21), ('D', 9), ('A', 0), ('B', -2)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('B', 'A', 'D'), 'D': ('A', 'C', 'B')}","{'A': 0, 'B': -7, 'C': 26, 'D': 9}","[('C', 26), ('D', 9), ('A', 0), ('B', -7)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('B', 'A', 'D'), 'D': ('B', 'A', 'C')}","{'A': 15, 'B': -17, 'C': 21, 'D': 9}","[('C', 21), ('A', 15), ('D', 9), ('B', -17)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('B', 'A', 'D'), 'D': ('B', 'C', 'A')}","{'A': 10, 'B': -17, 'C': 26, 'D': 9}","[('C', 26), ('A', 10), ('D', 9), ('B', -17)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('B', 'A', 'D'), 'D': ('C', 'A', 'B')}","{'A': 15, 'B': -7, 'C': 11, 'D': 9}","[('A', 15), ('C', 11), ('D', 9), ('B', -7)]"
"{'A': ('B', 'C', 'D'), 'B': ('A', 'C', 'D'), 'C': ('B', 'A', 'D'), 'D': ('C', 'B', 'A')}","{'A': 10, 'B': -2, 'C': 11, 'D': 9}","[('C', 11), ('A', 10), ('D', 9), ('B', -2)]"
